Día,Superserie,Ejercicio,Series,Reps,Tempo,Semana 1,Semana 2,Semana 3,Semana 4,Notas
1,A1,Monster walks con banda,3,12 por lado,----,16*3,18 azul y roja 20*2 roja*2,16 pasos,18 pasos,"Pasos diagonales, sin dolor ITB"
1,A2,Peso muerto rumano,3,8-10,3010,20*(13-12-10),20*(13-14-11),10 repeticiones,+2.5kg,"Controlar técnica, no forzar lumbar"
1,B1,Hip thrust con banda,3,10-12,2011,15*(12*2-10) Banda azul,20*(12-11-10) Banda azul,12 reps,+2.5kg,"Activar glúteos, subir controlado"
1,B2,Split squat búlgaro isométrico,3,20-30 seg,----,12.5*(20-30*2)seg,12.5*(20+(6-4*2reps))seg,30 seg,35 seg,"Mantener abajo, controlar rodilla"
1,C1,Pallof press (anti-rotación),3,12 por lado,2010,10*(10-12*2),10*14 15*12*2,14 reps,15 reps,Usar banda/cable
1,C2,Farmers carry,4,30 m,----,30*(18-8+20*6) 20*(10-8) 10*8 al fallo última ,22.5*35 m*3,40 m,+5kg,"Peso desafiante, espalda recta"
,,,,,,,,,,
,,,,,,,,,,
3,A1,Step jumps,3,8,Explosivo,10*3 reps,Saltos en el lugar 20*4*3 ,10 reps,10 reps con +5cm,"Técnica limpia, no buscar altura excesiva"
3,A2,Step-out con banda,3,12 por lado,2111,10 reps Banda en tobillo (alta) 10*2alta+baja,10 14*2 muy alta ,16 reps,18 reps,"Controlado, sin impacto, mantener tensión constante"
3,B1,Sentadilla pausa isométrica,3,8,3111,15*10*3 banda en rodilla (baja) ,20*12 20*10*2 muy alta barra más corta :(,10 reps,+2.5kg,Pausa 1-2 seg abajo
3,B2,Nordic curls/camilla,3,6-8,3110,12-6 reps asistidos banda violeta,Camilla 20*16 30*14 40*(9-8),8 reps,8 reps asistido más lento,Asistido si es necesario
3,C1,Dead bug / hollow hold,3,20-30 seg,----,5*60*3 seg,5*70*3 seg,30 seg,35 seg,Mantener lumbar pegado
,,,,,,,,,,
,,,,,,,,,,
2,A1,Press de pecho,2,10,3010,8*10*2,10*12*3,12 reps,+2.5kg,"Máx. 2 series, sin dolor hombro"
2,A2,Rotaciones externas con banda,3,15,2010,12*2 10,12 16*2,17 reps,18 reps,Codo pegado al cuerpo
2,B1,Remo en máquina/polea,3,12,2111,20*12*2 25*12,25*12 30*12 35*12,14 reps,15 reps,Movimiento controlado
2,B2,Y-raises livianos,3,12,2010,4*10*3,5*(12-10*2),14 reps,15 reps,"Muy ligero, sin dolor"
2,C1,Curl de muñeca,3,12-15,2010,15-12-7.5*3 dropsets,17.5-15-12-7.5*3 dropsets,14 reps,15 reps,Descanso corto
2,C2,Extensión de muñeca,3,12-15,2010,12-barra sola*3 dropsets,12-barra sola*3 dropsets,14 reps,15 reps,Descanso corto
2,D1,Pinch grip hold (discos),3,20-30 seg,----,15*(30*3)seg,15*(30*3) sec,30 seg,35 seg,"Apretar fuerte, sin colgar de hombros"
,,,,,,,,,,
,,,,,,,,,,
4,A1,Peso muerto sumo,3,6-8,3110,20*6 20*10*2,20*10*3,8 reps,+2.5kg,"Postura amplia, cómodo para ITB"
4,A2,Step-ups banco bajo,3,10 por pierna,2111,12.5*8+PC*2 7.5*10*2,7.5*8*3 cajón alto acostado,12 reps,+2.5kg,"Énfasis glúteo, no ITB"
4,B1,Side plank + elevación pierna,3,20 seg,----,(10*40 25*20*2 doble )seg con banda azul baja,(25*3) seg,30 seg,35 seg,Mantener alineación
4,B2,Hip thrust isométrico,3,20 seg,----,(20*3)seg,(25*25*3 doble )seg con banda azul baja,30 seg,35 seg,Mantener arriba con glúteo apretado
4,C1,Anti-rotación diagonal,3,12,2010,5*12 reps,Pallof 15*12*3 reps,14 reps,15 reps,Con banda o cable
,,,,,,,,,,
,,,,,,,,,,
5,A1,Jalón al pecho,3,10,3010,10 reps,11 reps,12 reps,+2.5kg,"Controlar movimiento, no tironear"
5,A2,Face pulls,2,15,2010,15 reps,16 reps,17 reps,18 reps,"Ligero, sin dolor"
5,B1,Curl con supinación,3,10,2111,10 reps,11 reps,12 reps,+2.5kg,Movimiento completo
5,B2,Extensión tríceps cuerda,3,12,2010,12 reps,13 reps,14 reps,15 reps,Controlar técnica
5,C1,Colgarse con toalla,3,20-30 seg,----,20 seg,25 seg,30 seg,35 seg,"Activar core, no relajar hombros"
5,C2,Pronación/supinación mancuerna,3,12,2010,12 reps,13 reps,14 reps,15 reps,Movimiento lento y controlado